Image,IOULG,IOULD,IOUDG,threshold_DT,threshold_GC,prediction,models
1.png,0.15127654497733237,0.0007953551260637875,0.0,0.6,0.4,hair_slide,Vgg
1.png,0.09369283385031417,0.0007953551260637875,0.0,0.6,0.5,hair_slide,Vgg
1.png,0.04708502346297622,0.0007953551260637875,0.0,0.6,0.6,hair_slide,Vgg
1.png,0.021395052891115884,0.0007953551260637875,0.0,0.6,0.7,hair_slide,Vgg
1.png,0.009385190487552693,0.0007953551260637875,0.0,0.6,0.8,hair_slide,Vgg
1.png,0.00063628410085103,0.0007953551260637875,0.0,0.6,0.9,hair_slide,Vgg
1.png,0.0,0.0007953551260637875,0.0,0.6,1,hair_slide,Vgg
1.png,0.873125,0.000318142050425515,0.0,0.7,0,hair_slide,Vgg
1.png,0.5846748681898066,0.000318142050425515,0.0,0.7,0.1,hair_slide,Vgg
1.png,0.37188464724041864,0.000318142050425515,0.0,0.7,0.2,hair_slide,Vgg
1.png,0.237017099430019,0.000318142050425515,0.0,0.7,0.3,hair_slide,Vgg
1.png,0.15127654497733237,0.000318142050425515,0.0,0.7,0.4,hair_slide,Vgg
1.png,0.09369283385031417,0.000318142050425515,0.0,0.7,0.5,hair_slide,Vgg
1.png,0.04708502346297622,0.000318142050425515,0.0,0.7,0.6,hair_slide,Vgg
1.png,0.021395052891115884,0.000318142050425515,0.0,0.7,0.7,hair_slide,Vgg
1.png,0.009385190487552693,0.000318142050425515,0.0,0.7,0.8,hair_slide,Vgg
1.png,0.00063628410085103,0.000318142050425515,0.0,0.7,0.9,hair_slide,Vgg
1.png,0.0,0.000318142050425515,0.0,0.7,1,hair_slide,Vgg
1.png,0.873125,0.00023860653781913624,0.0,0.8,0,hair_slide,Vgg
1.png,0.5846748681898066,0.00023860653781913624,0.0,0.8,0.1,hair_slide,Vgg
1.png,0.37188464724041864,0.00023860653781913624,0.0,0.8,0.2,hair_slide,Vgg
1.png,0.237017099430019,0.00023860653781913624,0.0,0.8,0.3,hair_slide,Vgg
1.png,0.15127654497733237,0.00023860653781913624,0.0,0.8,0.4,hair_slide,Vgg
1.png,0.09369283385031417,0.00023860653781913624,0.0,0.8,0.5,hair_slide,Vgg
1.png,0.04708502346297622,0.00023860653781913624,0.0,0.8,0.6,hair_slide,Vgg
1.png,0.021395052891115884,0.00023860653781913624,0.0,0.8,0.7,hair_slide,Vgg
1.png,0.009385190487552693,0.00023860653781913624,0.0,0.8,0.8,hair_slide,Vgg
1.png,0.00063628410085103,0.00023860653781913624,0.0,0.8,0.9,hair_slide,Vgg
1.png,0.0,0.00023860653781913624,0.0,0.8,1,hair_slide,Vgg
1.png,0.873125,7.953551260637875e-05,0.0,0.9,0,hair_slide,Vgg
1.png,0.5846748681898066,7.953551260637875e-05,0.0,0.9,0.1,hair_slide,Vgg
1.png,0.37188464724041864,7.953551260637875e-05,0.0,0.9,0.2,hair_slide,Vgg
1.png,0.237017099430019,7.953551260637875e-05,0.0,0.9,0.3,hair_slide,Vgg
1.png,0.15127654497733237,7.953551260637875e-05,0.0,0.9,0.4,hair_slide,Vgg
1.png,0.09369283385031417,7.953551260637875e-05,0.0,0.9,0.5,hair_slide,Vgg
1.png,0.04708502346297622,7.953551260637875e-05,0.0,0.9,0.6,hair_slide,Vgg
1.png,0.021395052891115884,7.953551260637875e-05,0.0,0.9,0.7,hair_slide,Vgg
1.png,0.009385190487552693,7.953551260637875e-05,0.0,0.9,0.8,hair_slide,Vgg
